"date","time","lon","lat","mPET"
"28.7.2021 ","0:00","23.75089","37.93213","23.8"
"28.7.2021 ","0:00","23.7514","37.93569","23.4"
"28.7.2021 ","0:00","23.75592","37.93527","23.2"
"28.7.2021 ","0:00","23.75195","37.93925","24.1"
"28.7.2021 ","0:00","23.75647","37.93884","23.5"
"28.7.2021 ","0:00","23.75806","37.94952","23.9"
"28.7.2021 ","0:00","23.78778","37.96482","20.1"
"28.7.2021 ","0:00","23.82098","37.97259","18.7"
"28.7.2021 ","0:00","23.79892","37.97823","19.0"
"28.7.2021 ","0:00","23.80396","37.98137","18.7"
"28.7.2021 ","0:00","23.73801","38.03075","24.4"
"28.7.2021 ","0:00","23.73853","38.03431","23.3"
"28.7.2021 ","0:00","23.74359","38.03745","24.3"
"28.7.2021 ","0:00","23.74411","38.04102","23.0"
"28.7.2021 ","0:00","23.74463","38.04458","23.4"
"28.7.2021 ","1:00","23.72369","37.99598","24.6"
"28.7.2021 ","1:00","23.72821","37.99556","24.2"
"28.7.2021 ","1:00","23.71066","38.00077","24.7"
"28.7.2021 ","1:00","23.72876","37.99911","24.2"
"28.7.2021 ","1:00","23.71121","38.00434","23.7"
"28.7.2021 ","1:00","23.7338","38.00227","24.3"
"28.7.2021 ","2:00","23.74481","37.92187","23.7"
"28.7.2021 ","2:00","23.75385","37.92104","23.4"
"28.7.2021 ","2:00","23.74533","37.92543","23.8"
"28.7.2021 ","2:00","23.75436","37.92459","22.9"
"28.7.2021 ","2:00","23.75888","37.92419","22.1"
"28.7.2021 ","2:00","23.74585","37.92899","23.4"
"28.7.2021 ","2:00","23.75488","37.92815","22.3"
"28.7.2021 ","2:00","23.74637","37.93256","23.1"
"28.7.2021 ","2:00","23.7424","37.93652","23.2"
"28.7.2021 ","2:00","23.74692","37.93611","23.2"
"28.7.2021 ","2:00","23.74292","37.94008","23.2"
"28.7.2021 ","2:00","23.76099","37.93842","21.7"
"28.7.2021 ","2:00","23.74344","37.94364","23.6"
"28.7.2021 ","2:00","23.73944","37.94761","24.0"
"28.7.2021 ","2:00","23.74396","37.9472","23.9"
"28.7.2021 ","2:00","23.78061","37.94744","16.2"
"28.7.2021 ","2:00","23.78113","37.951","17.9"
"28.7.2021 ","2:00","23.7822","37.95811","19.7"
"28.7.2021 ","2:00","23.70145","37.96915","24.4"
"28.7.2021 ","2:00","23.78778","37.96482","19.6"
"28.7.2021 ","2:00","23.76172","37.97444","23.1"
