"date","time","lon","lat","mPET"
"28.7.2021 ","0:00","23.78778","37.96482","20.1"
"28.7.2021 ","0:00","23.79892","37.97823","19.0"
"28.7.2021 ","0:00","23.80396","37.98137","18.7"
"28.7.2021 ","1:00","23.76016","37.96376","23.6"
"28.7.2021 ","1:00","23.7652","37.9669","23.3"
"28.7.2021 ","1:00","23.76971","37.9665","22.2"
"28.7.2021 ","1:00","23.72266","37.98885","24.6"
"28.7.2021 ","1:00","23.74524","37.98677","23.9"
"28.7.2021 ","1:00","23.72369","37.99598","24.6"
"28.7.2021 ","1:00","23.71066","38.00077","24.7"
"28.7.2021 ","2:00","23.74692","37.93611","23.2"
"28.7.2021 ","2:00","23.75592","37.93527","21.9"
"28.7.2021 ","2:00","23.74744","37.93967","23.3"
"28.7.2021 ","2:00","23.75195","37.93925","23.4"
"28.7.2021 ","2:00","23.76099","37.93842","21.7"
"28.7.2021 ","2:00","23.7655","37.938","21.1"
"28.7.2021 ","2:00","23.74902","37.95034","23.3"
"28.7.2021 ","2:00","23.74954","37.95391","23.3"
"28.7.2021 ","2:00","23.76309","37.95266","22.8"
"28.7.2021 ","2:00","23.7551","37.96062","23.4"
"28.7.2021 ","2:00","23.75961","37.96019","23.1"
"28.7.2021 ","2:00","23.7612","37.97087","23.3"
"28.7.2021 ","2:00","23.76172","37.97444","23.1"
"28.7.2021 ","2:00","23.76331","37.98512","23.4"
"28.7.2021 ","2:00","23.76782","37.9847","23.2"
"28.7.2021 ","2:00","23.76385","37.98867","23.4"
"28.7.2021 ","2:00","23.76837","37.98826","23.4"
"28.7.2021 ","2:00","23.76437","37.99224","23.4"
"28.7.2021 ","2:00","23.76941","37.99538","23.3"
"28.7.2021 ","2:00","23.76541","37.99936","23.4"
"28.7.2021 ","2:00","23.73642","38.02007","23.7"
"28.7.2021 ","3:00","23.73199","37.95913","23.4"
"28.7.2021 ","3:00","23.73254","37.96269","23.7"
"28.7.2021 ","3:00","23.75058","37.96103","22.7"
"28.7.2021 ","3:00","23.73306","37.96624","23.1"
"28.7.2021 ","3:00","23.7421","37.96542","23.3"
"28.7.2021 ","3:00","23.74661","37.96501","23.2"
"28.7.2021 ","3:00","23.75113","37.96459","23.2"
"28.7.2021 ","3:00","23.75565","37.96417","22.8"
"28.7.2021 ","3:00","23.76016","37.96376","22.4"
"28.7.2021 ","3:00","23.74261","37.96898","22.9"
"28.7.2021 ","3:00","23.74713","37.96856","22.9"
"28.7.2021 ","3:00","23.75165","37.96815","23.3"
"28.7.2021 ","3:00","23.7652","37.9669","22.5"
"28.7.2021 ","3:00","23.76971","37.9665","22.0"
"28.7.2021 ","3:00","23.77423","37.96606","20.8"
"28.7.2021 ","3:00","23.69797","37.97668","24.0"
"28.7.2021 ","3:00","23.7341","37.97337","23.6"
"28.7.2021 ","3:00","23.74765","37.97213","22.8"
"28.7.2021 ","3:00","23.75217","37.97171","23.0"
"28.7.2021 ","3:00","23.75668","37.9713","22.5"
"28.7.2021 ","3:00","23.7612","37.97087","22.2"
"28.7.2021 ","3:00","23.76572","37.97046","21.8"
"28.7.2021 ","3:00","23.77023","37.97005","21.9"
"28.7.2021 ","3:00","23.77475","37.96964","22.0"
"28.7.2021 ","3:00","23.77927","37.96921","20.5"
"28.7.2021 ","3:00","23.73462","37.97693","23.7"
"28.7.2021 ","3:00","23.73914","37.97652","23.2"
"28.7.2021 ","3:00","23.74365","37.9761","23.0"
"28.7.2021 ","3:00","23.74817","37.97569","23.0"
"28.7.2021 ","3:00","23.75269","37.97527","22.9"
"28.7.2021 ","3:00","23.76172","37.97444","22.1"
"28.7.2021 ","3:00","23.77075","37.97361","22.0"
"28.7.2021 ","3:00","23.77527","37.97319","22.6"
"28.7.2021 ","3:00","23.73517","37.9805","23.6"
"28.7.2021 ","3:00","23.73969","37.98008","23.4"
"28.7.2021 ","3:00","23.7442","37.97966","22.8"
"28.7.2021 ","3:00","23.75323","37.97884","23.2"
"28.7.2021 ","3:00","23.75775","37.97841","23.0"
"28.7.2021 ","3:00","23.76227","37.97799","22.6"
"28.7.2021 ","3:00","23.76678","37.97759","22.4"
"28.7.2021 ","3:00","23.7713","37.97717","22.2"
"28.7.2021 ","3:00","23.74472","37.98323","22.5"
"28.7.2021 ","3:00","23.75375","37.98238","23.0"
"28.7.2021 ","3:00","23.75827","37.98197","22.8"
"28.7.2021 ","3:00","23.76279","37.98156","22.7"
"28.7.2021 ","3:00","23.77182","37.98074","22.0"
"28.7.2021 ","3:00","23.74524","37.98677","23.3"
"28.7.2021 ","3:00","23.74576","37.99034","23.0"
"28.7.2021 ","3:00","23.75027","37.98992","22.9"
"28.7.2021 ","3:00","23.74631","37.9939","22.6"
"28.7.2021 ","3:00","23.75082","37.99348","22.9"
"28.7.2021 ","3:00","23.74683","37.99746","23.2"
"28.7.2021 ","3:00","23.75134","37.99705","23.2"
"28.7.2021 ","3:00","23.75186","38.00061","22.4"
"28.7.2021 ","3:00","23.75293","38.00773","22.2"
"28.7.2021 ","3:00","23.7399","38.01253","23.0"
"28.7.2021 ","3:00","23.74893","38.0117","22.2"
"28.7.2021 ","4:00","23.69955","37.98736","24.2"
"28.7.2021 ","4:00","23.69608","37.99489","24.9"
"28.7.2021 ","4:00","23.71918","37.99639","24.2"
"28.7.2021 ","6:00","23.69345","37.97709","35.0"
"28.7.2021 ","6:00","23.69797","37.97668","34.9"
"28.7.2021 ","6:00","23.70248","37.97626","34.7"
"28.7.2021 ","6:00","23.69397","37.98065","35.1"
"28.7.2021 ","6:00","23.69849","37.98025","34.9"
"28.7.2021 ","6:00","23.69449","37.98421","35.1"
"28.7.2021 ","6:00","23.69901","37.98379","35.0"
"28.7.2021 ","6:00","23.69504","37.98778","35.1"
"28.7.2021 ","6:00","23.69955","37.98736","35.0"
"28.7.2021 ","7:00","23.69345","37.97709","38.4"
"28.7.2021 ","7:00","23.69797","37.97668","38.2"
"28.7.2021 ","7:00","23.70248","37.97626","38.1"
"28.7.2021 ","7:00","23.69397","37.98065","38.5"
"28.7.2021 ","7:00","23.69849","37.98025","38.2"
"28.7.2021 ","7:00","23.703","37.97983","38.0"
"28.7.2021 ","7:00","23.69449","37.98421","38.5"
"28.7.2021 ","7:00","23.69901","37.98379","38.3"
"28.7.2021 ","7:00","23.69504","37.98778","38.5"
"28.7.2021 ","7:00","23.69955","37.98736","38.3"
"28.7.2021 ","7:00","23.70407","37.98695","38.1"
"28.7.2021 ","7:00","23.69608","37.99489","38.4"
"28.7.2021 ","8:00","23.69345","37.97709","40.5"
"28.7.2021 ","8:00","23.69797","37.97668","40.3"
"28.7.2021 ","8:00","23.70248","37.97626","40.2"
"28.7.2021 ","8:00","23.69397","37.98065","40.5"
"28.7.2021 ","8:00","23.69849","37.98025","40.3"
"28.7.2021 ","8:00","23.703","37.97983","40.1"
"28.7.2021 ","8:00","23.69449","37.98421","40.6"
"28.7.2021 ","8:00","23.69901","37.98379","40.4"
"28.7.2021 ","8:00","23.69504","37.98778","40.6"
"28.7.2021 ","8:00","23.69955","37.98736","40.4"
"28.7.2021 ","8:00","23.70407","37.98695","40.2"
"28.7.2021 ","8:00","23.69608","37.99489","40.5"
"28.7.2021 ","9:00","23.69345","37.97709","41.9"
