"date","time","lon","lat","mPET"
"28.7.2021 ","0:00","23.75089","37.93213","22.0"
"28.7.2021 ","0:00","23.7514","37.93569","21.7"
"28.7.2021 ","0:00","23.75592","37.93527","21.4"
"28.7.2021 ","0:00","23.75195","37.93925","22.3"
"28.7.2021 ","0:00","23.75647","37.93884","21.7"
"28.7.2021 ","0:00","23.75806","37.94952","22.1"
"28.7.2021 ","0:00","23.78778","37.96482","18.2"
"28.7.2021 ","0:00","23.82098","37.97259","16.8"
"28.7.2021 ","0:00","23.79892","37.97823","17.0"
"28.7.2021 ","0:00","23.80396","37.98137","16.9"
"28.7.2021 ","0:00","23.73801","38.03075","22.6"
"28.7.2021 ","0:00","23.73853","38.03431","21.5"
"28.7.2021 ","0:00","23.74359","38.03745","22.6"
"28.7.2021 ","0:00","23.74411","38.04102","21.2"
"28.7.2021 ","0:00","23.74463","38.04458","21.6"
"28.7.2021 ","1:00","23.72369","37.99598","22.8"
"28.7.2021 ","1:00","23.72821","37.99556","22.4"
"28.7.2021 ","1:00","23.71066","38.00077","23.0"
"28.7.2021 ","1:00","23.72876","37.99911","22.5"
"28.7.2021 ","1:00","23.71121","38.00434","22.0"
"28.7.2021 ","1:00","23.7338","38.00227","22.5"
"28.7.2021 ","2:00","23.74481","37.92187","21.9"
"28.7.2021 ","2:00","23.75385","37.92104","21.6"
"28.7.2021 ","2:00","23.74533","37.92543","22.0"
"28.7.2021 ","2:00","23.75436","37.92459","21.0"
"28.7.2021 ","2:00","23.75888","37.92419","20.1"
"28.7.2021 ","2:00","23.74585","37.92899","21.6"
"28.7.2021 ","2:00","23.75488","37.92815","20.4"
"28.7.2021 ","2:00","23.74637","37.93256","21.3"
"28.7.2021 ","2:00","23.7424","37.93652","21.4"
"28.7.2021 ","2:00","23.74692","37.93611","21.4"
"28.7.2021 ","2:00","23.74292","37.94008","21.4"
"28.7.2021 ","2:00","23.76099","37.93842","19.8"
"28.7.2021 ","2:00","23.74344","37.94364","21.8"
"28.7.2021 ","2:00","23.73944","37.94761","22.2"
"28.7.2021 ","2:00","23.74396","37.9472","22.2"
"28.7.2021 ","2:00","23.78061","37.94744","14.4"
"28.7.2021 ","2:00","23.78113","37.951","16.0"
"28.7.2021 ","2:00","23.7822","37.95811","17.8"
"28.7.2021 ","2:00","23.70145","37.96915","22.7"
"28.7.2021 ","2:00","23.78778","37.96482","17.7"
"28.7.2021 ","2:00","23.76172","37.97444","21.3"
"28.7.2021 ","2:00","23.76331","37.98512","21.6"
"28.7.2021 ","2:00","23.76782","37.9847","21.4"
"28.7.2021 ","2:00","23.76385","37.98867","21.6"
"28.7.2021 ","2:00","23.76837","37.98826","21.6"
"28.7.2021 ","3:00","23.74902","37.95034","20.4"
"28.7.2021 ","3:00","23.75354","37.94994","21.0"
"28.7.2021 ","3:00","23.75806","37.94952","20.3"
"28.7.2021 ","3:00","23.74503","37.95433","21.4"
"28.7.2021 ","3:00","23.74954","37.95391","20.4"
"28.7.2021 ","3:00","23.75406","37.95349","21.1"
"28.7.2021 ","3:00","23.75858","37.95308","20.1"
"28.7.2021 ","3:00","23.76309","37.95266","20.0"
"28.7.2021 ","3:00","23.73199","37.95913","21.6"
"28.7.2021 ","3:00","23.74554","37.95787","21.1"
"28.7.2021 ","3:00","23.75006","37.95747","20.8"
"28.7.2021 ","3:00","23.75458","37.95706","20.6"
"28.7.2021 ","3:00","23.75909","37.95663","20.2"
"28.7.2021 ","3:00","23.76361","37.95622","19.9"
"28.7.2021 ","3:00","23.73254","37.96269","21.9"
"28.7.2021 ","3:00","23.74155","37.96186","21.3"
"28.7.2021 ","3:00","23.74606","37.96144","21.1"
"28.7.2021 ","3:00","23.75058","37.96103","20.8"
"28.7.2021 ","3:00","23.7551","37.96062","20.4"
"28.7.2021 ","3:00","23.75961","37.96019","20.0"
"28.7.2021 ","3:00","23.73306","37.96624","21.2"
"28.7.2021 ","3:00","23.73758","37.96582","20.8"
"28.7.2021 ","3:00","23.7421","37.96542","21.4"
"28.7.2021 ","3:00","23.74661","37.96501","21.3"
"28.7.2021 ","3:00","23.75113","37.96459","21.3"
"28.7.2021 ","3:00","23.75565","37.96417","20.9"
"28.7.2021 ","3:00","23.76016","37.96376","20.4"
"28.7.2021 ","3:00","23.76465","37.96334","19.1"
"28.7.2021 ","3:00","23.74261","37.96898","21.0"
