"date","time","lon","lat","mPET"
"28.7.2021 ","0:00","23.75089","37.93213","22.3"
"28.7.2021 ","0:00","23.7514","37.93569","21.9"
"28.7.2021 ","0:00","23.75592","37.93527","21.6"
"28.7.2021 ","0:00","23.75195","37.93925","22.6"
"28.7.2021 ","0:00","23.75647","37.93884","22.0"
"28.7.2021 ","0:00","23.75806","37.94952","22.4"
"28.7.2021 ","0:00","23.78778","37.96482","18.5"
"28.7.2021 ","0:00","23.82098","37.97259","17.1"
"28.7.2021 ","0:00","23.79892","37.97823","17.3"
"28.7.2021 ","0:00","23.80396","37.98137","17.1"
"28.7.2021 ","0:00","23.73801","38.03075","22.9"
"28.7.2021 ","0:00","23.73853","38.03431","21.8"
"28.7.2021 ","0:00","23.74359","38.03745","22.8"
"28.7.2021 ","0:00","23.74411","38.04102","21.4"
"28.7.2021 ","0:00","23.74463","38.04458","21.8"
"28.7.2021 ","1:00","23.72369","37.99598","23.1"
"28.7.2021 ","1:00","23.72821","37.99556","22.7"
"28.7.2021 ","1:00","23.71066","38.00077","23.3"
"28.7.2021 ","1:00","23.72876","37.99911","22.7"
"28.7.2021 ","1:00","23.71121","38.00434","22.2"
"28.7.2021 ","1:00","23.7338","38.00227","22.8"
"28.7.2021 ","2:00","23.74481","37.92187","22.2"
"28.7.2021 ","2:00","23.75385","37.92104","21.8"
"28.7.2021 ","2:00","23.74533","37.92543","22.3"
"28.7.2021 ","2:00","23.75436","37.92459","21.3"
"28.7.2021 ","2:00","23.75888","37.92419","20.4"
"28.7.2021 ","2:00","23.74585","37.92899","21.9"
"28.7.2021 ","2:00","23.75488","37.92815","20.7"
"28.7.2021 ","2:00","23.74637","37.93256","21.6"
"28.7.2021 ","2:00","23.7424","37.93652","21.6"
"28.7.2021 ","2:00","23.74692","37.93611","21.6"
"28.7.2021 ","2:00","23.74292","37.94008","21.7"
"28.7.2021 ","2:00","23.76099","37.93842","20.0"
"28.7.2021 ","2:00","23.74344","37.94364","22.0"
"28.7.2021 ","2:00","23.73944","37.94761","22.5"
"28.7.2021 ","2:00","23.74396","37.9472","22.4"
"28.7.2021 ","2:00","23.78061","37.94744","14.6"
"28.7.2021 ","2:00","23.78113","37.951","16.3"
"28.7.2021 ","2:00","23.7822","37.95811","18.1"
"28.7.2021 ","2:00","23.70145","37.96915","22.9"
"28.7.2021 ","2:00","23.78778","37.96482","17.9"
"28.7.2021 ","2:00","23.76172","37.97444","21.5"
"28.7.2021 ","2:00","23.76331","37.98512","21.8"
"28.7.2021 ","2:00","23.76782","37.9847","21.7"
"28.7.2021 ","2:00","23.76385","37.98867","21.8"
"28.7.2021 ","2:00","23.76837","37.98826","21.9"
"28.7.2021 ","3:00","23.74902","37.95034","20.6"
"28.7.2021 ","3:00","23.75354","37.94994","21.3"
"28.7.2021 ","3:00","23.75806","37.94952","20.6"
"28.7.2021 ","3:00","23.74503","37.95433","21.7"
"28.7.2021 ","3:00","23.74954","37.95391","20.7"
"28.7.2021 ","3:00","23.75406","37.95349","21.4"
"28.7.2021 ","3:00","23.75858","37.95308","20.4"
"28.7.2021 ","3:00","23.76309","37.95266","20.2"
"28.7.2021 ","3:00","23.73199","37.95913","21.9"
"28.7.2021 ","3:00","23.74554","37.95787","21.4"
"28.7.2021 ","3:00","23.75006","37.95747","21.1"
"28.7.2021 ","3:00","23.75458","37.95706","20.9"
"28.7.2021 ","3:00","23.75909","37.95663","20.5"
"28.7.2021 ","3:00","23.76361","37.95622","20.2"
"28.7.2021 ","3:00","23.73254","37.96269","22.1"
"28.7.2021 ","3:00","23.74155","37.96186","21.6"
"28.7.2021 ","3:00","23.74606","37.96144","21.3"
"28.7.2021 ","3:00","23.75058","37.96103","21.1"
"28.7.2021 ","3:00","23.7551","37.96062","20.6"
"28.7.2021 ","3:00","23.75961","37.96019","20.2"
"28.7.2021 ","3:00","23.73306","37.96624","21.5"
"28.7.2021 ","3:00","23.73758","37.96582","21.1"
"28.7.2021 ","3:00","23.7421","37.96542","21.7"
"28.7.2021 ","3:00","23.74661","37.96501","21.6"
"28.7.2021 ","3:00","23.75113","37.96459","21.6"
"28.7.2021 ","3:00","23.75565","37.96417","21.2"
"28.7.2021 ","3:00","23.76016","37.96376","20.7"
"28.7.2021 ","3:00","23.76465","37.96334","19.4"
"28.7.2021 ","3:00","23.74261","37.96898","21.3"
"28.7.2021 ","3:00","23.74713","37.96856","21.3"
"28.7.2021 ","3:00","23.75165","37.96815","21.7"
"28.7.2021 ","3:00","23.75616","37.96774","21.7"
"28.7.2021 ","3:00","23.7652","37.9669","20.9"
"28.7.2021 ","3:00","23.76971","37.9665","20.3"
"28.7.2021 ","3:00","23.7341","37.97337","22.1"
"28.7.2021 ","3:00","23.74313","37.97254","21.0"
"28.7.2021 ","3:00","23.74765","37.97213","21.2"
"28.7.2021 ","3:00","23.75217","37.97171","21.4"
"28.7.2021 ","3:00","23.75668","37.9713","20.8"
"28.7.2021 ","3:00","23.7612","37.97087","20.5"
"28.7.2021 ","3:00","23.76572","37.97046","20.1"
"28.7.2021 ","3:00","23.77023","37.97005","20.2"
"28.7.2021 ","3:00","23.77475","37.96964","20.4"
"28.7.2021 ","3:00","23.77927","37.96921","18.8"
"28.7.2021 ","3:00","23.73462","37.97693","22.2"
"28.7.2021 ","3:00","23.73914","37.97652","21.6"
"28.7.2021 ","3:00","23.74365","37.9761","21.4"
"28.7.2021 ","3:00","23.74817","37.97569","21.4"
"28.7.2021 ","3:00","23.75269","37.97527","21.3"
"28.7.2021 ","3:00","23.7572","37.97485","20.3"
"28.7.2021 ","3:00","23.76172","37.97444","20.4"
"28.7.2021 ","3:00","23.76624","37.97402","20.1"
"28.7.2021 ","3:00","23.77075","37.97361","20.4"
"28.7.2021 ","3:00","23.77527","37.97319","20.9"
"28.7.2021 ","3:00","23.73517","37.9805","22.1"
"28.7.2021 ","3:00","23.73969","37.98008","21.8"
"28.7.2021 ","3:00","23.7442","37.97966","21.2"
"28.7.2021 ","3:00","23.75323","37.97884","21.6"
"28.7.2021 ","3:00","23.75775","37.97841","21.5"
"28.7.2021 ","3:00","23.76227","37.97799","21.0"
"28.7.2021 ","3:00","23.76678","37.97759","20.8"
"28.7.2021 ","3:00","23.7713","37.97717","20.5"
